"No.","Time","Source","Destination","Protocol","Length","Info"
"156","26.482024","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=364 Ack=111 Win=509 Len=15 TSval=1216080388 TSecr=2398539986"
"157","26.482570","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=364 Ack=111 Win=509 Len=15 TSval=2801591530 TSecr=2463262220"
"158","26.482668","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=111 Ack=379 Win=502 Len=4 TSval=2398540988 TSecr=1216080388 [TCP segment of a reassembled PDU]"
"159","26.482841","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=379 Ack=115 Win=509 Len=0 TSval=1216080388 TSecr=2398540988"
"160","26.483217","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=111 Ack=379 Win=502 Len=4 TSval=2463263222 TSecr=2801591530 [TCP segment of a reassembled PDU]"
"161","26.483242","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=379 Ack=115 Win=509 Len=0 TSval=2801591531 TSecr=2463263222"
"162","27.481226","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=379 Ack=115 Win=509 Len=15 TSval=1216081387 TSecr=2398540988"
"163","27.481678","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=379 Ack=115 Win=509 Len=15 TSval=2801592529 TSecr=2463263222"
"164","27.481899","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=115 Ack=394 Win=502 Len=4 TSval=2398541987 TSecr=1216081387 [TCP segment of a reassembled PDU]"
"165","27.482047","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=394 Ack=119 Win=509 Len=0 TSval=1216081387 TSecr=2398541987"
"166","27.482326","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=115 Ack=394 Win=502 Len=4 TSval=2463264221 TSecr=2801592529 [TCP segment of a reassembled PDU]"
"167","27.482352","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=394 Ack=119 Win=509 Len=0 TSval=2801592530 TSecr=2463264221"
"168","28.482284","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=394 Ack=119 Win=509 Len=15 TSval=1216082388 TSecr=2398541987"
"169","28.482625","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=394 Ack=119 Win=509 Len=15 TSval=2801593530 TSecr=2463264221"
"170","28.482795","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=119 Ack=409 Win=502 Len=4 TSval=2398542988 TSecr=1216082388 [TCP segment of a reassembled PDU]"
"171","28.483139","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=409 Ack=123 Win=509 Len=0 TSval=1216082388 TSecr=2398542988"
"172","28.483456","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=119 Ack=409 Win=502 Len=4 TSval=2463265222 TSecr=2801593530 [TCP segment of a reassembled PDU]"
"173","28.483478","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=409 Ack=123 Win=509 Len=0 TSval=2801593531 TSecr=2463265222"
"174","29.484859","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=409 Ack=123 Win=509 Len=15 TSval=1216083390 TSecr=2398542988"
"175","29.485173","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=409 Ack=123 Win=509 Len=15 TSval=2801594533 TSecr=2463265222"
"176","29.485314","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=123 Ack=424 Win=502 Len=4 TSval=2398543991 TSecr=1216083390 [TCP segment of a reassembled PDU]"
"177","29.485501","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=424 Ack=127 Win=509 Len=0 TSval=1216083391 TSecr=2398543991"
"178","29.485939","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=123 Ack=424 Win=502 Len=4 TSval=2463266224 TSecr=2801594533 [TCP segment of a reassembled PDU]"
"179","29.485960","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=424 Ack=127 Win=509 Len=0 TSval=2801594533 TSecr=2463266224"
"180","30.484303","172.19.0.6","172.19.0.7","TCP","80","8088  >  48876 [PSH, ACK] Seq=424 Ack=127 Win=509 Len=14 TSval=1216084390 TSecr=2398543991 [TCP segment of a reassembled PDU]"
"181","30.484722","172.19.0.7","172.19.0.8","TCP","80","8088  >  56716 [PSH, ACK] Seq=424 Ack=127 Win=509 Len=14 TSval=2801595532 TSecr=2463266224 [TCP segment of a reassembled PDU]"
"182","30.485030","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=127 Ack=438 Win=502 Len=4 TSval=2463267224 TSecr=2801595532 [TCP segment of a reassembled PDU]"
"183","30.485051","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=438 Ack=131 Win=509 Len=0 TSval=2801595533 TSecr=2463267224"
"184","30.485164","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=127 Ack=438 Win=502 Len=4 TSval=2398544991 TSecr=1216084390 [TCP segment of a reassembled PDU]"
"185","30.485248","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=438 Ack=131 Win=509 Len=0 TSval=1216084391 TSecr=2398544991"
"186","31.485453","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=438 Ack=131 Win=509 Len=15 TSval=1216085391 TSecr=2398544991"
"187","31.486442","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=438 Ack=131 Win=509 Len=15 TSval=2801596534 TSecr=2463267224"
"188","31.486560","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=131 Ack=453 Win=502 Len=4 TSval=2398545992 TSecr=1216085391 [TCP segment of a reassembled PDU]"
"189","31.486910","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=453 Ack=135 Win=509 Len=0 TSval=1216085392 TSecr=2398545992"
"190","31.487395","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=131 Ack=453 Win=502 Len=4 TSval=2463268226 TSecr=2801596534 [TCP segment of a reassembled PDU]"
"191","31.487415","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=453 Ack=135 Win=509 Len=0 TSval=2801596535 TSecr=2463268226"
"192","32.486641","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=453 Ack=135 Win=509 Len=15 TSval=1216086392 TSecr=2398545992"
"193","32.486952","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=453 Ack=135 Win=509 Len=15 TSval=2801597534 TSecr=2463268226"
"194","32.487089","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=135 Ack=468 Win=502 Len=4 TSval=2398546993 TSecr=1216086392 [TCP segment of a reassembled PDU]"
"195","32.487166","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=468 Ack=139 Win=509 Len=0 TSval=1216086393 TSecr=2398546993"
"196","32.487398","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=135 Ack=468 Win=502 Len=4 TSval=2463269226 TSecr=2801597534 [TCP segment of a reassembled PDU]"
"197","32.487439","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=468 Ack=139 Win=509 Len=0 TSval=2801597535 TSecr=2463269226"
"198","33.486466","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=468 Ack=139 Win=509 Len=15 TSval=1216087392 TSecr=2398546993"
"199","33.487028","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=468 Ack=139 Win=509 Len=15 TSval=2801598535 TSecr=2463269226"
"200","33.487197","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=139 Ack=483 Win=502 Len=4 TSval=2398547993 TSecr=1216087392 [TCP segment of a reassembled PDU]"
"201","33.487279","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=483 Ack=143 Win=509 Len=0 TSval=1216087393 TSecr=2398547993"
"202","33.487530","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=139 Ack=483 Win=502 Len=4 TSval=2463270226 TSecr=2801598535 [TCP segment of a reassembled PDU]"
"203","33.487550","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=483 Ack=143 Win=509 Len=0 TSval=2801598535 TSecr=2463270226"
"204","34.488773","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=483 Ack=143 Win=509 Len=15 TSval=1216088394 TSecr=2398547993"
"205","34.489274","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=483 Ack=143 Win=509 Len=15 TSval=2801599537 TSecr=2463270226"
"206","34.489393","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=143 Ack=498 Win=502 Len=4 TSval=2398548995 TSecr=1216088394 [TCP segment of a reassembled PDU]"
"207","34.489531","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=498 Ack=147 Win=509 Len=0 TSval=1216088395 TSecr=2398548995"
"208","34.489859","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=143 Ack=498 Win=502 Len=4 TSval=2463271228 TSecr=2801599537 [TCP segment of a reassembled PDU]"
"209","34.489898","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=498 Ack=147 Win=509 Len=0 TSval=2801599537 TSecr=2463271228"
"210","35.489005","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=498 Ack=147 Win=509 Len=15 TSval=1216089394 TSecr=2398548995"
"211","35.489367","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=498 Ack=147 Win=509 Len=15 TSval=2801600537 TSecr=2463271228"
"212","35.489497","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=147 Ack=513 Win=502 Len=4 TSval=2398549995 TSecr=1216089394 [TCP segment of a reassembled PDU]"
"213","35.489666","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=513 Ack=151 Win=509 Len=0 TSval=1216089395 TSecr=2398549995"
"214","35.490026","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=147 Ack=513 Win=502 Len=4 TSval=2463272229 TSecr=2801600537 [TCP segment of a reassembled PDU]"
"215","35.490051","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=513 Ack=151 Win=509 Len=0 TSval=2801600538 TSecr=2463272229"
"216","36.492049","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=513 Ack=151 Win=509 Len=15 TSval=1216090398 TSecr=2398549995"
"217","36.492424","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=513 Ack=151 Win=509 Len=15 TSval=2801601540 TSecr=2463272229"
"218","36.492611","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=151 Ack=528 Win=502 Len=4 TSval=2398550998 TSecr=1216090398 [TCP segment of a reassembled PDU]"
