"No.","Time","Source","Destination","Protocol","Length","Info"
"57","42.628599","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=118 Ack=45 Win=64256 Len=0 TSval=3504554641 TSecr=1728607771"
"58","43.628041","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=118 Ack=45 Win=64256 Len=12 TSval=3504555640 TSecr=1728607771"
"59","43.628262","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=45 Ack=130 Win=65152 Len=4 TSval=1728608771 TSecr=3504555640 [TCP segment of a reassembled PDU]"
"60","43.628332","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=130 Ack=49 Win=64256 Len=0 TSval=3504555640 TSecr=1728608771"
"61","43.628450","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=130 Ack=49 Win=64256 Len=4 TSval=3504555640 TSecr=1728608771 [TCP segment of a reassembled PDU]"
"62","43.628682","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=53 Ack=3 Win=509 Len=10 TSval=2488289730 TSecr=2826617038 [TCP segment of a reassembled PDU]"
"63","43.629117","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=63 Win=502 Len=0 TSval=2826618039 TSecr=2488289730"
"64","43.629514","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=49 Ack=134 Win=65152 Len=4 TSval=1728608772 TSecr=3504555640 [TCP segment of a reassembled PDU]"
"65","43.629581","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=134 Ack=53 Win=64256 Len=0 TSval=3504555642 TSecr=1728608772"
"66","43.688471","02:42:ac:13:00:07","02:42:ac:13:00:08","ARP","42","Who has 172.19.0.8? Tell 172.19.0.7"
"67","43.688486","02:42:ac:13:00:08","02:42:ac:13:00:07","ARP","42","172.19.0.8 is at 02:42:ac:13:00:08"
"68","44.629810","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=134 Ack=53 Win=64256 Len=12 TSval=3504556642 TSecr=1728608772"
